Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,1,0,0,20,true,3,8,13,7,10,11,7,8,8,15,8,3,13,13,13,14,3,10,1,8,6,5,5,10,12,5,14,4,4,10,6,9,10,6,9,9,3,10,3,6,7,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,
0,20,14,1,
1,20,14,2,
2,19,14,3,
3,19,15,3,
4,19,15,3,
5,19,15,5,
6,19,15,5,
7,18,15,11,
8,18,15,11,
9,18,15,6,
10,18,15,6,
11,18,15,5,
12,18,15,5,
13,18,15,4,
14,18,15,4,
15,18,9,4,
16,17,9,3,
17,16,10,3,
18,16,10,2,
19,15,10,1,
20,15,15,1,
21,15,15,1,
22,15,15,7,
23,15,15,7,
24,15,15,15,
25,15,15,15,
26,15,15,1,
27,15,15,1,
28,15,15,9,
29,15,15,9,
30,15,15,15,
31,15,15,15,
32,15,6,15,
33,15,6,14,
34,14,5,14,
35,14,10,14,
36,14,10,13,
37,13,10,12,
38,13,15,12,
39,13,15,12,
40,13,15,15,
41,13,15,15,
42,13,15,13,
43,13,14,13,
44,12,13,13,
45,12,15,13,
46,12,15,13,15,11,
47,12,15,14,15,11,
48,12,15,14,15,15,
49,12,15,5,15,15,
50,12,15,5,2,15,
