Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,1,0,5,20,true,3,3,14,4,3,7,5,2,7,12,7,6,4,5,5,2,14,12,12,9,15,8,3,8,14,2,12,11,3,4,1,11,14,10,11,15,14,10,8,5,15,12,14,10,7,12,2,9,6,6,10,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,
0,20,14,4,
1,20,15,4,
2,20,15,4,
3,20,15,1,
4,20,15,1,
5,20,15,5,
6,20,15,5,
7,20,15,8,
8,20,15,8,
9,19,15,15,
10,19,15,15,
11,19,15,1,
12,19,15,1,
13,19,6,1,
14,18,4,1,
15,18,8,1,
16,17,8,3,
17,17,6,3,
18,16,6,4,
19,16,5,4,
20,15,5,5,
21,15,6,5,
22,15,6,5,
23,14,6,15,
24,13,5,15,
25,12,10,15,
26,12,10,14,
27,11,11,14,
28,10,12,14,
29,9,12,12,
30,9,10,12,
31,8,10,11,2,11,
32,7,10,9,2,12,
33,5,10,8,2,14,
34,4,10,7,2,14,
35,4,10,6,2,8,
36,3,9,6,4,8,
37,3,15,6,8,8,
38,3,15,6,15,8,
39,3,10,6,15,8,
40,3,15,6,15,15,
41,3,15,6,15,15,
42,3,15,12,15,8,
43,3,15,12,15,8,
44,3,15,6,15,14,
45,3,15,6,15,14,
46,2,9,6,4,14,
47,2,15,6,8,14,
48,2,15,6,15,14,
49,2,15,15,15,14,
50,2,15,15,15,15,
