Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,1,0,10,20,true,3,6,13,2,14,15,4,11,3,14,5,11,13,2,3,4,10,2,5,2,2,12,10,3,15,3,4,9,6,6,7,12,2,14,15,1,5,10,8,12,5,5,1,7,10,12,12,15,6,1,3,14,7,8,12,3,14,10,2,3,6,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,
0,20,12,5,
1,19,12,2,
2,18,10,2,
3,18,15,2,
4,18,15,2,
5,18,7,2,
6,18,5,2,
7,17,5,1,
8,17,10,1,
9,17,15,1,
10,17,15,1,
11,17,15,3,
12,17,15,3,
13,17,15,1,
14,17,15,1,
15,17,15,3,
16,17,15,3,
17,17,15,1,
18,17,15,1,
19,17,4,1,
20,17,4,4,
21,16,3,4,
22,15,3,6,
23,15,1,6,
24,14,1,5,
25,13,1,3,
26,13,1,3,
27,13,1,13,
28,13,3,13,
29,12,3,14,
30,11,3,15,
31,11,6,15,
32,11,12,15,
33,10,14,15,
34,10,15,15,
35,9,15,15,7,10,
36,8,15,5,7,12,
37,7,15,7,8,12,
38,6,14,7,11,12,
39,5,15,7,12,12,
40,4,15,7,12,10,
41,4,7,7,15,10,
42,3,6,7,15,10,
43,3,9,7,15,15,
44,2,9,6,15,15,
45,2,9,8,15,5,
46,1,10,8,15,5,
47,1,15,8,15,8,
48,1,15,8,15,8,
49,1,15,11,11,8,
50,1,15,11,15,8,
