Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,1,0,20,20,true,3,9,10,5,11,13,5,6,10,15,8,9,12,5,9,5,4,9,3,6,15,14,7,15,2,6,14,11,2,5,5,10,6,14,6,8,3,10,13,4,1,12,12,1,12,11,5,7,11,5,2,13,13,7,10,4,2,5,6,6,2,9,2,2,4,12,5,12,3,13,7,8,10,14,14,14,3,2,15,2,9,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,
0,20,6,2,
1,19,5,2,
2,18,4,2,
3,18,8,2,
4,17,9,2,
5,17,10,2,
6,17,10,5,
7,16,11,5,
8,15,12,5,
9,14,12,3,
10,13,14,3,
11,13,15,3,
12,13,15,3,
13,13,15,7,
14,13,15,7,
15,13,15,5,
16,13,15,5,
17,13,15,7,
18,13,15,7,
19,13,15,6,
20,13,15,6,
21,13,15,3,
22,13,15,3,
23,13,11,3,
24,13,15,3,
25,13,15,3,
26,13,15,7,
27,13,15,7,
28,13,15,3,
29,13,15,3,
30,13,15,7,
31,13,15,7,
32,13,15,3,
33,13,15,3,
34,13,15,7,
35,13,15,7,
36,13,15,3,
37,13,15,3,
38,13,15,7,
39,13,15,7,
40,13,15,3,
41,13,15,3,
42,13,15,7,
43,13,15,7,
44,13,15,3,
45,13,15,3,
46,13,10,3,
47,13,15,3,
48,13,15,3,
49,13,10,3,
50,13,15,3,
