Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,
50,15,15,1,0,20,5,true,3,8,13,1,3,12,12,6,8,5,9,11,10,14,14,6,5,10,7,6,2,6,1,14,6,10,15,6,3,1,14,15,1,5,13,10,1,7,5,2,12,11,7,12,5,6,11,4,1,2,10,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,
0,5,8,4,
1,5,12,4,
2,4,12,5,
3,4,12,7,
4,3,11,7,
5,3,15,7,
6,3,15,7,
7,3,14,7,
8,3,15,7,
9,3,15,7,
10,3,15,9,
11,3,15,9,
12,3,8,9,
13,3,15,9,
14,3,15,9,
15,3,9,9,
16,3,15,9,
17,3,15,9,
18,3,14,9,
19,3,15,9,
20,3,15,9,
21,3,15,15,
22,3,15,15,
23,3,15,11,
24,3,15,11,
25,3,15,2,
26,3,15,2,
27,3,15,14,
28,3,15,14,
29,3,15,7,
30,3,15,7,
31,3,15,9,
32,3,15,9,
33,3,15,5,
34,3,15,5,
35,3,8,5,
36,3,15,5,
37,3,15,5,
38,3,12,5,
39,3,15,5,
40,3,15,5,
41,3,8,5,
42,3,15,5,
43,3,15,5,
44,3,8,5,
45,3,15,5,
46,3,15,5,
47,3,15,14,
48,3,15,14,
49,3,15,5,
50,3,15,5,
