Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,
50,15,15,1,0,20,10,true,3,6,11,14,8,15,2,8,14,10,11,2,15,4,5,8,5,15,10,7,1,5,13,9,1,14,4,3,12,15,15,14,6,14,15,12,1,11,13,7,6,9,14,1,15,1,13,5,11,13,9,15,12,14,11,5,5,7,10,12,3,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,
0,10,14,3,
1,9,12,3,
2,9,15,3,
3,9,15,3,
4,9,9,3,
5,9,15,3,
6,9,15,3,
7,9,15,9,
8,8,13,9,
9,8,13,11,
10,7,14,11,
11,7,15,11,
12,6,15,12,
13,6,15,12,
14,6,15,11,
15,6,15,11,
16,6,13,11,
17,6,15,11,
18,6,15,11,
19,6,15,14,
20,6,15,14,
21,5,9,14,
22,5,15,14,
23,5,15,14,
24,5,9,14,
25,5,15,14,
26,5,15,14,
27,5,14,14,
28,5,15,14,
29,5,15,14,
30,5,9,14,
31,5,15,14,
32,5,15,14,
33,5,9,14,
34,5,15,14,
35,5,15,14,
36,5,9,14,
37,5,15,14,
38,5,15,14,
39,5,11,14,
40,5,15,14,
41,5,15,14,
42,5,15,13,
43,5,15,13,
44,5,12,13,
45,5,15,13,
46,5,15,13,
47,5,12,13,
48,5,15,13,
49,5,15,13,
50,5,15,11,
