Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,2,0,20,20,true,3,7,5,9,15,12,7,7,9,3,12,15,8,15,6,9,14,4,11,13,11,8,2,1,10,2,1,6,9,4,9,9,2,8,9,7,7,2,9,3,8,9,10,2,15,4,12,11,5,9,7,3,15,8,15,1,7,7,8,7,11,3,13,14,9,2,10,1,12,1,11,8,11,15,12,2,2,14,11,7,3,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Agent 2 X-Pos,Agent 2 Y-Pos,
0,20,13,3,1,7,
1,19,7,3,2,7,
2,19,2,3,4,7,
3,18,2,2,6,7,
4,18,4,2,6,8,
5,17,7,2,7,8,
6,17,7,2,9,8,
7,16,7,4,9,7,
8,15,11,4,9,10,
9,14,11,5,8,10,
10,13,15,5,8,11,
11,12,15,5,7,11,
12,12,13,5,12,11,
13,12,13,9,12,11,
14,11,14,9,12,13,
15,10,14,11,15,13,
16,9,15,11,15,12,
17,9,15,11,15,12,
18,9,15,15,15,15,
19,9,15,15,15,15,
20,9,15,9,15,14,
21,9,15,9,15,14,
22,9,15,10,10,14,
23,9,15,10,15,14,
24,9,15,9,15,14,
25,9,15,9,15,9,
26,9,9,9,15,9,
27,9,15,9,15,15,
28,9,15,9,15,15,
29,9,9,9,14,15,
30,9,15,9,15,15,
31,9,15,9,15,15,
32,9,15,15,15,10,
33,9,15,15,15,10,
34,9,15,9,15,15,
35,9,15,9,15,15,
36,9,15,15,15,9,
37,9,15,15,15,9,
38,9,12,15,15,11,
39,9,15,15,15,11,
40,9,15,15,15,9,
41,9,10,15,15,9,
42,9,15,15,14,9,
43,9,15,15,15,9,
44,9,15,12,15,9,
45,9,15,12,14,9,
46,9,8,12,15,9,
47,8,8,15,15,9,
48,7,3,15,15,15,
49,6,2,15,15,15,
50,5,2,10,10,15,
