Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,3,0,20,20,true,3,14,9,12,14,8,12,2,4,14,4,3,1,13,6,11,5,12,2,14,7,6,2,8,3,4,10,3,7,4,2,1,9,11,12,7,3,12,15,13,2,12,9,15,10,7,7,6,9,7,12,10,5,2,1,10,13,13,5,6,1,4,8,6,14,10,11,1,10,13,4,11,14,4,15,12,1,2,5,4,11,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Agent 2 X-Pos,Agent 2 Y-Pos,Agent 3 X-Pos,Agent 3 Y-Pos,
0,20,15,6,10,8,13,7,
1,17,15,10,10,5,7,7,
2,15,12,10,10,11,7,12,
3,13,12,9,10,13,7,14,
4,12,12,5,11,13,6,14,
5,9,13,5,11,14,6,9,
6,8,13,4,4,14,4,9,
7,6,13,4,4,15,4,8,
8,5,13,5,4,11,4,7,
9,5,15,5,1,11,8,7,
10,4,15,5,1,10,13,7,
11,4,15,1,2,10,13,7,
12,2,12,1,2,5,13,12,
13,2,7,1,4,5,15,12,
14,1,6,1,8,5,15,12,
15,1,12,1,10,5,12,12,
16,1,15,1,10,5,15,12,
17,1,15,1,10,7,15,12,
18,1,4,1,13,7,12,12,
19,1,8,1,13,7,15,12,
20,1,15,1,4,7,15,12,
21,1,15,1,8,7,15,4,
22,1,15,3,13,7,15,4,
23,1,15,3,13,7,15,1,
24,1,15,15,4,7,15,1,
25,1,15,15,8,7,15,10,
26,1,15,6,13,7,15,10,
27,1,15,6,13,7,5,10,
28,1,14,6,13,11,10,10,
29,1,15,6,15,11,15,10,
30,1,15,6,15,11,15,10,
31,1,15,15,14,11,15,1,
32,1,15,15,15,11,15,1,
33,1,13,15,15,11,15,15,
34,1,15,15,15,15,15,15,
35,1,15,15,15,15,13,15,
36,1,13,15,15,1,15,15,
37,1,15,15,15,1,15,15,
38,1,15,15,15,11,13,15,
39,1,15,9,15,11,15,15,
40,1,15,9,8,11,15,15,
41,1,15,15,15,11,15,7,
42,1,15,15,15,11,15,7,
43,1,13,15,15,1,15,15,
44,1,15,15,15,1,15,15,
45,1,15,15,6,1,15,8,
46,1,15,1,12,1,15,8,
47,1,15,1,15,1,9,8,
48,1,9,1,15,1,15,8,
49,1,15,1,4,1,15,8,
50,1,15,1,8,1,15,1,
