Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,4,0,20,20,true,3,7,2,11,1,11,14,12,1,12,9,11,11,14,8,14,3,4,10,12,7,14,10,4,13,6,2,13,7,11,8,11,9,9,6,9,4,12,12,10,10,6,9,9,10,15,15,11,12,4,9,14,1,14,2,7,12,7,14,13,5,13,11,14,13,5,1,9,14,15,12,12,11,12,13,6,4,7,1,2,5,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Agent 2 X-Pos,Agent 2 Y-Pos,Agent 3 X-Pos,Agent 3 Y-Pos,Agent 4 X-Pos,Agent 4 Y-Pos,
0,20,11,10,2,14,6,11,1,6,
1,18,12,10,7,14,6,9,1,5,
2,14,12,11,7,12,4,9,2,5,
3,12,13,11,11,12,9,9,6,5,
4,10,15,11,10,12,9,10,6,4,
5,8,15,12,10,11,9,14,8,4,
6,8,14,12,10,11,10,14,8,1,
7,6,14,13,10,15,10,14,7,1,
8,4,13,13,15,15,10,15,5,1,
9,3,12,13,15,15,15,15,10,1,
10,3,15,13,1,15,15,15,9,1,
11,3,15,13,2,15,4,15,8,1,
12,3,15,15,4,15,8,15,7,1,
13,3,15,15,8,15,15,15,6,1,
14,3,3,15,15,15,15,15,5,1,
15,3,6,15,15,15,15,9,10,1,
16,3,12,15,2,15,15,9,9,1,
17,3,15,15,4,15,15,4,8,1,
18,3,15,15,8,15,15,2,7,1,
19,2,15,8,15,15,14,2,6,1,
20,1,15,8,15,15,14,1,5,1,
21,1,15,11,13,15,15,1,10,1,
22,1,15,11,15,15,15,1,10,1,
23,1,15,1,15,15,15,15,10,9,
24,1,15,1,2,15,15,15,10,9,
25,1,13,1,4,15,15,6,3,9,
26,1,15,1,8,15,13,6,6,9,
27,0,15,1,15,15,13,5,10,9,
28,0,13,1,15,15,15,5,10,9,
29,0,15,1,11,15,15,5,10,6,
30,0,15,1,15,15,1,5,15,6,
31,0,15,8,15,15,2,5,15,6,
32,0,15,8,15,10,4,5,15,8,
33,0,15,1,15,10,8,5,15,8,
34,0,15,1,15,1,15,5,15,15,
35,0,13,1,15,1,15,5,15,15,
36,0,15,1,15,13,14,5,15,14,
37,0,15,1,15,13,15,5,15,14,
38,0,13,1,5,13,15,5,12,14,
39,0,15,1,10,13,15,1,15,14,
40,0,15,1,15,13,15,1,15,14,
41,0,15,14,15,13,13,1,12,14,
42,0,15,14,15,7,15,1,15,14,
43,0,15,11,15,7,15,1,15,14,
44,0,15,11,15,1,14,1,12,14,
45,0,15,6,15,1,15,1,15,14,
46,0,15,6,13,1,15,1,15,14,
47,0,15,1,15,1,13,1,15,9,
48,0,15,1,15,1,15,1,15,9,
49,0,13,1,13,1,15,1,15,15,
50,0,15,1,15,1,15,7,15,15,
