Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,1,1,20,20,true,3,11,12,3,11,12,11,11,3,1,12,4,10,11,11,12,2,14,2,10,5,6,10,2,14,6,5,10,14,5,15,15,7,11,2,3,7,12,5,9,4,4,14,5,4,14,8,15,1,5,5,3,1,9,8,10,2,13,6,8,14,13,9,12,13,13,3,3,2,14,13,12,7,1,15,7,9,4,6,9,14,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Predator 1 X-Pos,Predator 1 Y-Pos,
0,20,14,6,
1,19,9,4,13,6,
2,18,9,5,13,3,
3,18,9,6,13,7,
4,17,9,7,12,7,
5,17,9,8,14,7,
6,16,10,8,14,8,
7,15,10,9,14,13,
8,14,10,10,12,13,
9,14,11,10,9,13,
10,13,12,10,9,14,
11,12,12,11,8,14,
12,11,12,12,4,14,
13,11,12,13,8,14,
14,11,13,13,8,9,14,9,
15,9,13,14,7,9,13,9,
16,9,14,14,14,9,15,9,
17,9,15,14,15,9,15,9,
18,9,15,14,15,9,2,9,
19,9,15,14,15,15,4,9,
20,8,15,15,15,15,4,6,
21,8,15,15,4,5,
22,7,15,15,5,5,
23,6,15,15,5,4,
24,6,15,15,10,4,
25,5,15,15,10,2,
26,5,15,15,10,2,
27,5,15,15,8,2,
28,4,15,15,3,2,
29,3,15,15,3,1,
30,3,15,15,6,1,
31,3,15,15,12,1,
32,2,15,15,15,1,
33,2,15,15,15,1,
34,2,15,15,8,1,
35,2,15,15,15,1,
36,2,15,15,15,1,
37,2,15,15,7,1,
38,2,15,15,14,1,
39,2,15,15,15,1,
40,2,15,15,15,1,
41,2,15,15,15,6,
42,2,15,15,15,6,
43,2,15,15,15,1,
44,2,15,15,15,1,
45,2,15,15,15,6,
46,2,15,15,15,6,
47,2,15,15,6,6,
48,2,15,15,12,6,
49,2,15,15,15,6,
50,2,15,15,15,6,
