Time Steps,X-bound,Y-bound,# Agents,# Predators,# Obstacles,# Energies,Seek Energy?,Agent Choice?,Obstacle 1 X-Pos,Obstacle 1 Y-Pos,Obstacle 2 X-Pos,Obstacle 2 Y-Pos,Obstacle 3 X-Pos,Obstacle 3 Y-Pos,Obstacle 4 X-Pos,Obstacle 4 Y-Pos,Obstacle 5 X-Pos,Obstacle 5 Y-Pos,Obstacle 6 X-Pos,Obstacle 6 Y-Pos,Obstacle 7 X-Pos,Obstacle 7 Y-Pos,Obstacle 8 X-Pos,Obstacle 8 Y-Pos,Obstacle 9 X-Pos,Obstacle 9 Y-Pos,Obstacle 10 X-Pos,Obstacle 10 Y-Pos,Obstacle 11 X-Pos,Obstacle 11 Y-Pos,Obstacle 12 X-Pos,Obstacle 12 Y-Pos,Obstacle 13 X-Pos,Obstacle 13 Y-Pos,Obstacle 14 X-Pos,Obstacle 14 Y-Pos,Obstacle 15 X-Pos,Obstacle 15 Y-Pos,Obstacle 16 X-Pos,Obstacle 16 Y-Pos,Obstacle 17 X-Pos,Obstacle 17 Y-Pos,Obstacle 18 X-Pos,Obstacle 18 Y-Pos,Obstacle 19 X-Pos,Obstacle 19 Y-Pos,Obstacle 20 X-Pos,Obstacle 20 Y-Pos,Energy 1 X-Pos,Energy 1 Y-Pos,Energy 2 X-Pos,Energy 2 Y-Pos,Energy 3 X-Pos,Energy 3 Y-Pos,Energy 4 X-Pos,Energy 4 Y-Pos,Energy 5 X-Pos,Energy 5 Y-Pos,Energy 6 X-Pos,Energy 6 Y-Pos,Energy 7 X-Pos,Energy 7 Y-Pos,Energy 8 X-Pos,Energy 8 Y-Pos,Energy 9 X-Pos,Energy 9 Y-Pos,Energy 10 X-Pos,Energy 10 Y-Pos,Energy 11 X-Pos,Energy 11 Y-Pos,Energy 12 X-Pos,Energy 12 Y-Pos,Energy 13 X-Pos,Energy 13 Y-Pos,Energy 14 X-Pos,Energy 14 Y-Pos,Energy 15 X-Pos,Energy 15 Y-Pos,Energy 16 X-Pos,Energy 16 Y-Pos,Energy 17 X-Pos,Energy 17 Y-Pos,Energy 18 X-Pos,Energy 18 Y-Pos,Energy 19 X-Pos,Energy 19 Y-Pos,Energy 20 X-Pos,Energy 20 Y-Pos,
50,15,15,1,2,20,20,true,3,1,2,5,3,2,10,2,12,14,7,6,4,7,6,9,15,14,13,2,5,11,13,11,3,6,6,11,2,6,10,3,7,15,5,8,8,8,6,14,6,10,12,9,11,3,8,6,9,7,4,10,2,13,7,5,9,5,7,9,7,1,10,13,15,6,7,12,12,6,11,6,1,9,5,10,6,12,6,7,3,
Time Step,# Energies Remaining,Agent 1 X-Pos,Agent 1 Y-Pos,Predator 1 X-Pos,Predator 1 Y-Pos,Predator 2 X-Pos,Predator 2 Y-Pos,
0,20,15,2,
1,20,11,1,8,15,15,2,
2,20,11,2,8,15,15,1,
3,20,12,2,9,15,15,1,
4,19,12,3,9,15,1,1,
5,19,13,3,9,15,2,1,
6,19,13,4,10,15,4,1,
7,19,14,4,10,15,8,1,
8,19,14,5,10,15,10,1,
9,18,14,6,10,15,10,2,
10,17,14,7,10,15,10,6,
11,16,14,8,11,15,12,6,
12,16,15,8,12,15,13,6,
13,15,15,9,12,15,13,7,
14,14,15,9,12,15,9,7,
15,13,15,9,12,15,9,5,
16,13,15,9,13,15,7,5,
17,12,15,9,14,15,7,4,
18,11,15,10,15,15,7,3,
19,11,15,10,15,15,10,3,
20,11,15,10,15,15,10,3,15,6,
21,11,15,6,15,15,10,5,15,6,
22,11,15,7,15,15,14,5,
23,11,15,8,15,15,14,5,
24,11,15,9,15,15,9,5,
25,11,15,9,15,15,14,5,
26,11,15,10,15,15,14,5,
27,11,15,10,15,15,13,5,
28,11,15,10,15,15,14,5,
29,11,15,11,15,15,14,5,
30,11,15,12,15,15,14,1,
31,11,15,12,15,15,15,1,
32,11,15,12,15,15,15,1,
33,11,15,12,15,15,15,4,
34,11,15,4,15,15,15,4,
35,11,15,5,15,15,
36,11,15,5,15,15,
37,11,15,6,15,15,
38,11,15,6,15,15,
39,11,15,7,15,15,
40,11,15,8,15,15,
41,11,15,8,15,15,
42,11,15,9,15,15,
43,11,15,10,15,15,
44,11,15,11,15,15,
45,11,15,12,15,15,
46,11,15,12,15,15,
47,11,15,13,15,15,
48,11,15,13,15,15,
49,11,15,13,15,15,
50,11,15,14,15,15,
